,分词,出现次数
0,生活,129
1,发现,80
2,开始,77
3,最佳,67
4,决定,62
5,父亲,61
6,世界,51
7,母亲,48
8,女儿,45
9,故事,44
10,配音,43
11,人类,42
12,妻子,39
13,孩子,39
14,朋友,39
15,工作,38
16,帮助,37
17,找到,36
18,改编,36
19,离开,36
20,美国,35
21,电影,35
22,儿子,33
23,女孩,32
24,身份,32
25,父母,31
26,小镇,29
27,学校,29
28,人生,28
29,寻找,28
30,事情,28
31,学生,26
32,回到,26
33,希望,25
34,日本,25
35,秘密,25
36,喜欢,25
37,杰克,24
38,经历,23
39,真相,23
40,影片,23
41,遇到,23
42,男孩,23
43,爱情,22
44,神秘,22
45,电影节,22
46,得知,21
47,计划,21
48,少年,21
49,行动,21
50,生命,21
51,获得,20
52,知道,20
53,真实,20
54,突然,20
55,意外,20
56,妹妹,20
57,关系,19
58,战争,19
59,国际,19
60,过程,19
61,感情,18
62,公主,18
63,游戏,18
64,荣获,18
65,组织,18
66,警察,18
67,事件,18
68,梦想,18
69,隐藏,18
70,妈妈,17
71,拯救,17
72,公司,17
73,同名,17
74,老人,17
75,利用,16
76,进入,16
77,日子,16
78,去世,16
79,时间,16
80,老师,16
81,查理,16
82,准备,16
83,杰西,16
84,监狱,15
85,奥斯卡,15
86,结束,15
87,年代,15
88,前往,15
89,年轻,15
90,破坏,15
91,好友,15
92,先生,15
93,麦克,15
94,继续,15
95,善良,15
96,长大,14
97,少女,14
98,命运,14
99,接受,14
100,德国,14
101,演员,14
102,帕克,14
103,小说,14
104,成功,14
105,音乐,14
106,对方,14
107,香港,14
108,失去,14
109,力量,14
110,机会,14
111,精神,14
112,女人,14
113,赢得,13
114,纳粹,13
115,教授,13
116,导演,13
117,环境,13
118,法国,13
119,案件,13
120,调查,13
121,东京,13
122,过去,13
123,事业,13
124,自由,12
125,认识,12
126,杀手,12
127,要求,12
128,杀害,12
129,青年,12
130,丈夫,12
131,成员,12
132,平凡,12
133,地方,12
134,机器人,12
135,问题,12
136,旅程,12
137,选择,12
138,改变,12
139,爱德华,12
140,产生,12
141,机器,12
142,哥哥,12
143,偶然,11
144,美丽,11
145,参加,11
146,面临,11
147,告诉,11
148,魔法,11
149,世纪,11
150,大卫,11
151,男人,11
152,方式,11
153,大奖,11
154,遇见,11
155,怀疑,11
156,结识,11
157,犯罪,11
158,城市,11
159,人们,11
160,留下,11
161,森林,11
162,童年,11
163,泰勒,11
164,生存,11
165,内心,11
166,约翰,11
167,安迪,10
168,性格,10
169,警方,10
170,英国,10
171,教师,10
172,快乐,10
173,疯狂,10
174,穿越,10
175,爱上,10
176,学院,10
177,拥有,10
178,拒绝,10
179,动物,10
180,努力,10
181,任务,10
182,带领,10
183,威尔,10
184,遭遇,10
185,姐妹,10
186,生意,10
187,饭店,10
188,严重,10
189,怪物,10
190,陷入,10
191,回忆,10
192,唐伯虎,10
193,列车,10
194,琪琪,10
195,苏珊娜,10
196,绝望,9
197,出生,9
198,普通,9
199,一生,9
200,邻居,9
201,主人,9
202,毒品,9
203,社会,9
204,爸爸,9
205,身体,9
206,冒险,9
207,能力,9
208,卢卡斯,9
209,迈克尔,9
210,地球,9
211,讲述,9
212,比赛,9
213,女友,9
214,印度,9
215,方法,9
216,美好,9
217,照顾,9
218,邪恶,9
219,传说,9
220,战斗,9
221,村民,9
222,时光,9
223,行为,9
224,弗兰克,9
225,潜入,9
226,死亡,9
227,见到,9
228,名叫,9
229,可爱,9
230,海豚,9
231,拍摄,9
232,比尔,9
233,基因,9
234,夏天,9
235,玛丽,9
236,巴黎,9
237,机场,9
238,武士,9
239,马里恩,9
240,婴儿,9
241,答应,8
242,唯一,8
243,张国荣,8
244,汤姆,8
245,英雄,8
246,报仇,8
247,纽约,8
248,卡尔,8
249,黑暗,8
250,军官,8
251,梦境,8
252,天赋,8
253,失踪,8
254,发展,8
255,打开,8
256,顺利,8
257,尼克,8
258,韩琛,8
259,真正,8
260,神奇,8
261,科技,8
262,兴趣,8
263,成长,8
264,平静,8
265,混乱,8
266,需要,8
267,火车,8
268,返回,8
269,愤怒,8
270,重重,8
271,甘道夫,8
272,房子,8
273,经营,8
274,老板,8
275,保护,8
276,海盗,8
277,女子,8
278,抛弃,8
279,结果,8
280,大学,8
281,控制,8
282,母体,8
