电影名,年份,评分,评价人数,最热评论
肖申克的救赎,1994,9.7,2510286,希望让人自由。
霸王别姬,1993,9.6,1866204,风华绝代。
阿甘正传,1994,9.5,1886088,一部美国近现代史。
泰坦尼克号,1997,9.4,1847506,失去的才是永恒的。 
这个杀手不太冷,1994,9.4,2047374,怪蜀黍和小萝莉不得不说的故事。
美丽人生,1997,9.6,1156479,最美的谎言。
千与千寻,2001,9.4,1967271,最好的宫崎骏，最好的久石让。 
辛德勒的名单,1993,9.5,964743,拯救一个人，就是拯救整个世界。
盗梦空间,2010,9.3,1811555,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事,2009,9.4,1243723,永远都不能忘记你所爱的人。
星际穿越,2014,9.4,1490702,爱是一种力量，让我们超越时空感知它的存在。
楚门的世界,1998,9.3,1412437,如果再也不能见到你，祝你早安，午安，晚安。
海上钢琴师,1998,9.3,1471967,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,2009,9.2,1647968,英俊版憨豆，高情商版谢耳朵。
机器人总动员,2008,9.3,1160784,小瓦力，大人生。
放牛班的春天,2004,9.3,1145879,天籁一般的童声，是最接近上帝的存在。 
无间道,2002,9.3,1143116,香港电影史上永不过时的杰作。
疯狂动物城,2016,9.2,1642487,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
大话西游之大圣娶亲,1995,9.2,1344045,一生所爱。
熔炉,2011,9.3,817588,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,1972,9.3,822638,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,2006,9.2,1331988,平民励志片。 
控方证人,1957,9.6,413710,比利·怀德满分作品。
龙猫,1988,9.2,1111028,人人心中都有个龙猫，童年就永远不会消失。
怦然心动,2010,9.1,1591561,真正的幸福是来自内心深处。
触不可及,2011,9.3,903042,满满温情的高雅喜剧。
末代皇帝,1987,9.3,729114,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
蝙蝠侠：黑暗骑士,2008,9.2,912340,无尽的黑暗。
寻梦环游记,2017,9.1,1407952,死亡不是真的逝去，遗忘才是永恒的消亡。
活着,1994,9.3,712423,张艺谋最好的电影。
指环王3：王者无敌,2003,9.3,696887,史诗的终章。
哈利·波特与魔法石,2001,9.1,978186,童话世界的开端。
乱世佳人,1939,9.3,602442,Tomorrow is another day.
素媛,2013,9.3,586250,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
飞屋环游记,2009,9.1,1159119,最后那些最无聊的事情，才是最值得怀念的。 
摔跤吧！爸爸,2016,9.0,1376613,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
何以为家,2018,9.1,894515,凝视卑弱生命，用电影改变命运。
我不是药神,2018,9.0,1832228,对我们国家而言，这样的电影多一部是一部。
十二怒汉,1957,9.4,407883,1957年的理想主义。 
